COMPOSITE_RECEIPT_ID,SERIAL_NUMBER,PARTY_NUMBER,PARTY_NAME,PARTY_LOCATION,RECEIPT_NUMBER,PARTY_AMT,ATTRIBUTE_CATEGORY,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,PROCESS_FLAG,PROCESS_MESSAGE,PROCESS_DATE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,COMMENTS,PROCESS_FLAG12,PROCESS_MESSAGE12,PROCESS_DATE12,RECEIPT_DATE,CHNO,BANK_ACC_ID,BANK_ACC_NUMBER,BANK_ACC_NAME,DOCTYPE,REF_RECEIPTNO,REF_RECEIPTDT,REF_DOCTYPE,SECURITY_FLAG,CONS_TYPE,CONS_RCPT_NO,CHEQUE_BOUNCE_REASON,RECEIPT_METHOD_ID,PROV_RECPTDT,ERP_CUSTOMER_NUMBER
120434,1,13789274262,Rama News Agency,Bijnor,MRT-26040011,27400,AU_Receipt_Info,,11,N,Y,Y,Y,HDFC Bank C/A MRT-380000025,New HDFC Bank C/A MRT,MRT-26040011,,MRT/2026-27/100011,,,,,S,-; SUCCESS; COMPOSITE RECEIPT NO. : C93,46142.7053125,1,46140.6419675926,2733,46142.7053125,payment received ,,From CIO DATE,46141.5777893519,46141,,12140,New HDFC Bank C/A MRT,HDFC Bank C/A MRT-380000025,RCR,,,,N,,93,,72136,46140,9018
120442,1,5942894334588,Shadiq News Agency,Noorpur,MRT-26040012,31550,AU_Receipt_Info,,11,N,Y,Y,Y,HDFC Bank C/A MRT-380000025,New HDFC Bank C/A MRT,MRT-26040012,,MRT/2026-27/100012,,,,,S,-SUCCESS; COMPOSITE RECEIPT NO. : C93,46142.7053125,1,46140.6773263889,2733,46142.7053125,payment received ,,From CIO DATE,46141.5815972222,46141,,12140,New HDFC Bank C/A MRT,HDFC Bank C/A MRT-380000025,RCR,,,,N,,93,,72136,46140,70242
